Kupovina,Održavanje,Vrata,Broj_osoba,Prtljažnik,Bezbednost,Klasa
vvisoka,vvisoka,2,2,mali,niska,neprihv
vvisoka,vvisoka,2,2,mali,srednja,neprihv
vvisoka,vvisoka,2,2,mali,visoka,neprihv
vvisoka,vvisoka,2,2,srednja,niska,neprihv
vvisoka,vvisoka,2,2,srednja,srednja,neprihv
vvisoka,vvisoka,2,2,srednja,visoka,neprihv
vvisoka,vvisoka,2,2,veliki,niska,neprihv
vvisoka,vvisoka,2,2,veliki,srednja,neprihv
vvisoka,vvisoka,2,2,veliki,visoka,neprihv
vvisoka,vvisoka,2,4,mali,niska,neprihv
vvisoka,vvisoka,2,4,mali,srednja,neprihv
vvisoka,vvisoka,2,4,mali,visoka,neprihv
vvisoka,vvisoka,2,4,srednja,niska,neprihv
vvisoka,vvisoka,2,4,srednja,srednja,neprihv
vvisoka,vvisoka,2,4,srednja,visoka,neprihv
vvisoka,vvisoka,2,4,veliki,niska,neprihv
vvisoka,vvisoka,2,4,veliki,srednja,neprihv
vvisoka,vvisoka,2,4,veliki,visoka,neprihv
vvisoka,vvisoka,2,više,mali,niska,neprihv
vvisoka,vvisoka,2,više,mali,srednja,neprihv
vvisoka,vvisoka,2,više,mali,visoka,neprihv
vvisoka,vvisoka,2,više,srednja,niska,neprihv
vvisoka,vvisoka,2,više,srednja,srednja,neprihv
vvisoka,vvisoka,2,više,srednja,visoka,neprihv
vvisoka,vvisoka,2,više,veliki,niska,neprihv
vvisoka,vvisoka,2,više,veliki,srednja,neprihv
vvisoka,vvisoka,2,više,veliki,visoka,neprihv
vvisoka,vvisoka,3,2,mali,niska,neprihv
vvisoka,vvisoka,3,2,mali,srednja,neprihv
vvisoka,vvisoka,3,2,mali,visoka,neprihv
vvisoka,vvisoka,3,2,srednja,niska,neprihv
vvisoka,vvisoka,3,2,srednja,srednja,neprihv
vvisoka,vvisoka,3,2,srednja,visoka,neprihv
vvisoka,vvisoka,3,2,veliki,niska,neprihv
vvisoka,vvisoka,3,2,veliki,srednja,neprihv
vvisoka,vvisoka,3,2,veliki,visoka,neprihv
vvisoka,vvisoka,3,4,mali,niska,neprihv
vvisoka,vvisoka,3,4,mali,srednja,neprihv
vvisoka,vvisoka,3,4,mali,visoka,neprihv
vvisoka,vvisoka,3,4,srednja,niska,neprihv
vvisoka,vvisoka,3,4,srednja,srednja,neprihv
vvisoka,vvisoka,3,4,srednja,visoka,neprihv
vvisoka,vvisoka,3,4,veliki,niska,neprihv
vvisoka,vvisoka,3,4,veliki,srednja,neprihv
vvisoka,vvisoka,3,4,veliki,visoka,neprihv
vvisoka,vvisoka,3,više,mali,niska,neprihv
vvisoka,vvisoka,3,više,mali,srednja,neprihv
vvisoka,vvisoka,3,više,mali,visoka,neprihv
vvisoka,vvisoka,3,više,srednja,niska,neprihv
vvisoka,vvisoka,3,više,srednja,srednja,neprihv
vvisoka,vvisoka,3,više,srednja,visoka,neprihv
vvisoka,vvisoka,3,više,veliki,niska,neprihv
vvisoka,vvisoka,3,više,veliki,srednja,neprihv
vvisoka,vvisoka,3,više,veliki,visoka,neprihv
vvisoka,vvisoka,4,2,mali,niska,neprihv
vvisoka,vvisoka,4,2,mali,srednja,neprihv
vvisoka,vvisoka,4,2,mali,visoka,neprihv
vvisoka,vvisoka,4,2,srednja,niska,neprihv
vvisoka,vvisoka,4,2,srednja,srednja,neprihv
vvisoka,vvisoka,4,2,srednja,visoka,neprihv
vvisoka,vvisoka,4,2,veliki,niska,neprihv
vvisoka,vvisoka,4,2,veliki,srednja,neprihv
vvisoka,vvisoka,4,2,veliki,visoka,neprihv
vvisoka,vvisoka,4,4,mali,niska,neprihv
vvisoka,vvisoka,4,4,mali,srednja,neprihv
vvisoka,vvisoka,4,4,mali,visoka,neprihv
vvisoka,vvisoka,4,4,srednja,niska,neprihv
vvisoka,vvisoka,4,4,srednja,srednja,neprihv
vvisoka,vvisoka,4,4,srednja,visoka,neprihv
vvisoka,vvisoka,4,4,veliki,niska,neprihv
vvisoka,vvisoka,4,4,veliki,srednja,neprihv
vvisoka,vvisoka,4,4,veliki,visoka,neprihv
vvisoka,vvisoka,4,više,mali,niska,neprihv
vvisoka,vvisoka,4,više,mali,srednja,neprihv
vvisoka,vvisoka,4,više,mali,visoka,neprihv
vvisoka,vvisoka,4,više,srednja,niska,neprihv
vvisoka,vvisoka,4,više,srednja,srednja,neprihv
vvisoka,vvisoka,4,više,srednja,visoka,neprihv
vvisoka,vvisoka,4,više,veliki,niska,neprihv
vvisoka,vvisoka,4,više,veliki,srednja,neprihv
vvisoka,vvisoka,4,više,veliki,visoka,neprihv
vvisoka,vvisoka,5više,2,mali,niska,neprihv
vvisoka,vvisoka,5više,2,mali,srednja,neprihv
vvisoka,vvisoka,5više,2,mali,visoka,neprihv
vvisoka,vvisoka,5više,2,srednja,niska,neprihv
vvisoka,vvisoka,5više,2,srednja,srednja,neprihv
vvisoka,vvisoka,5više,2,srednja,visoka,neprihv
vvisoka,vvisoka,5više,2,veliki,niska,neprihv
vvisoka,vvisoka,5više,2,veliki,srednja,neprihv
vvisoka,vvisoka,5više,2,veliki,visoka,neprihv
vvisoka,vvisoka,5više,4,mali,niska,neprihv
vvisoka,vvisoka,5više,4,mali,srednja,neprihv
vvisoka,vvisoka,5više,4,mali,visoka,neprihv
vvisoka,vvisoka,5više,4,srednja,niska,neprihv
vvisoka,vvisoka,5više,4,srednja,srednja,neprihv
vvisoka,vvisoka,5više,4,srednja,visoka,neprihv
vvisoka,vvisoka,5više,4,veliki,niska,neprihv
vvisoka,vvisoka,5više,4,veliki,srednja,neprihv
vvisoka,vvisoka,5više,4,veliki,visoka,neprihv
vvisoka,vvisoka,5više,više,mali,niska,neprihv
vvisoka,vvisoka,5više,više,mali,srednja,neprihv
vvisoka,vvisoka,5više,više,mali,visoka,neprihv
vvisoka,vvisoka,5više,više,srednja,niska,neprihv
vvisoka,vvisoka,5više,više,srednja,srednja,neprihv
vvisoka,vvisoka,5više,više,srednja,visoka,neprihv
vvisoka,vvisoka,5više,više,veliki,niska,neprihv
vvisoka,vvisoka,5više,više,veliki,srednja,neprihv
vvisoka,vvisoka,5više,više,veliki,visoka,neprihv
vvisoka,visoka,2,2,mali,niska,neprihv
vvisoka,visoka,2,2,mali,srednja,neprihv
vvisoka,visoka,2,2,mali,visoka,neprihv
vvisoka,visoka,2,2,srednja,niska,neprihv
vvisoka,visoka,2,2,srednja,srednja,neprihv
vvisoka,visoka,2,2,srednja,visoka,neprihv
vvisoka,visoka,2,2,veliki,niska,neprihv
vvisoka,visoka,2,2,veliki,srednja,neprihv
vvisoka,visoka,2,2,veliki,visoka,neprihv
vvisoka,visoka,2,4,mali,niska,neprihv
vvisoka,visoka,2,4,mali,srednja,neprihv
vvisoka,visoka,2,4,mali,visoka,neprihv
vvisoka,visoka,2,4,srednja,niska,neprihv
vvisoka,visoka,2,4,srednja,srednja,neprihv
vvisoka,visoka,2,4,srednja,visoka,neprihv
vvisoka,visoka,2,4,veliki,niska,neprihv
vvisoka,visoka,2,4,veliki,srednja,neprihv
vvisoka,visoka,2,4,veliki,visoka,neprihv
vvisoka,visoka,2,više,mali,niska,neprihv
vvisoka,visoka,2,više,mali,srednja,neprihv
vvisoka,visoka,2,više,mali,visoka,neprihv
vvisoka,visoka,2,više,srednja,niska,neprihv
vvisoka,visoka,2,više,srednja,srednja,neprihv
vvisoka,visoka,2,više,srednja,visoka,neprihv
vvisoka,visoka,2,više,veliki,niska,neprihv
vvisoka,visoka,2,više,veliki,srednja,neprihv
vvisoka,visoka,2,više,veliki,visoka,neprihv
vvisoka,visoka,3,2,mali,niska,neprihv
vvisoka,visoka,3,2,mali,srednja,neprihv
vvisoka,visoka,3,2,mali,visoka,neprihv
vvisoka,visoka,3,2,srednja,niska,neprihv
vvisoka,visoka,3,2,srednja,srednja,neprihv
vvisoka,visoka,3,2,srednja,visoka,neprihv
vvisoka,visoka,3,2,veliki,niska,neprihv
vvisoka,visoka,3,2,veliki,srednja,neprihv
vvisoka,visoka,3,2,veliki,visoka,neprihv
vvisoka,visoka,3,4,mali,niska,neprihv
vvisoka,visoka,3,4,mali,srednja,neprihv
vvisoka,visoka,3,4,mali,visoka,neprihv
vvisoka,visoka,3,4,srednja,niska,neprihv
vvisoka,visoka,3,4,srednja,srednja,neprihv
vvisoka,visoka,3,4,srednja,visoka,neprihv
vvisoka,visoka,3,4,veliki,niska,neprihv
vvisoka,visoka,3,4,veliki,srednja,neprihv
vvisoka,visoka,3,4,veliki,visoka,neprihv
vvisoka,visoka,3,više,mali,niska,neprihv
vvisoka,visoka,3,više,mali,srednja,neprihv
vvisoka,visoka,3,više,mali,visoka,neprihv
vvisoka,visoka,3,više,srednja,niska,neprihv
vvisoka,visoka,3,više,srednja,srednja,neprihv
vvisoka,visoka,3,više,srednja,visoka,neprihv
vvisoka,visoka,3,više,veliki,niska,neprihv
vvisoka,visoka,3,više,veliki,srednja,neprihv
vvisoka,visoka,3,više,veliki,visoka,neprihv
vvisoka,visoka,4,2,mali,niska,neprihv
vvisoka,visoka,4,2,mali,srednja,neprihv
vvisoka,visoka,4,2,mali,visoka,neprihv
vvisoka,visoka,4,2,srednja,niska,neprihv
vvisoka,visoka,4,2,srednja,srednja,neprihv
vvisoka,visoka,4,2,srednja,visoka,neprihv
vvisoka,visoka,4,2,veliki,niska,neprihv
vvisoka,visoka,4,2,veliki,srednja,neprihv
vvisoka,visoka,4,2,veliki,visoka,neprihv
vvisoka,visoka,4,4,mali,niska,neprihv
vvisoka,visoka,4,4,mali,srednja,neprihv
vvisoka,visoka,4,4,mali,visoka,neprihv
vvisoka,visoka,4,4,srednja,niska,neprihv
vvisoka,visoka,4,4,srednja,srednja,neprihv
vvisoka,visoka,4,4,srednja,visoka,neprihv
vvisoka,visoka,4,4,veliki,niska,neprihv
vvisoka,visoka,4,4,veliki,srednja,neprihv
vvisoka,visoka,4,4,veliki,visoka,neprihv
vvisoka,visoka,4,više,mali,niska,neprihv
vvisoka,visoka,4,više,mali,srednja,neprihv
vvisoka,visoka,4,više,mali,visoka,neprihv
vvisoka,visoka,4,više,srednja,niska,neprihv
vvisoka,visoka,4,više,srednja,srednja,neprihv
vvisoka,visoka,4,više,srednja,visoka,neprihv
vvisoka,visoka,4,više,veliki,niska,neprihv
vvisoka,visoka,4,više,veliki,srednja,neprihv
vvisoka,visoka,4,više,veliki,visoka,neprihv
vvisoka,visoka,5više,2,mali,niska,neprihv
vvisoka,visoka,5više,2,mali,srednja,neprihv
vvisoka,visoka,5više,2,mali,visoka,neprihv
vvisoka,visoka,5više,2,srednja,niska,neprihv
vvisoka,visoka,5više,2,srednja,srednja,neprihv
vvisoka,visoka,5više,2,srednja,visoka,neprihv
vvisoka,visoka,5više,2,veliki,niska,neprihv
vvisoka,visoka,5više,2,veliki,srednja,neprihv
vvisoka,visoka,5više,2,veliki,visoka,neprihv
vvisoka,visoka,5više,4,mali,niska,neprihv
vvisoka,visoka,5više,4,mali,srednja,neprihv
vvisoka,visoka,5više,4,mali,visoka,neprihv
vvisoka,visoka,5više,4,srednja,niska,neprihv
vvisoka,visoka,5više,4,srednja,srednja,neprihv
vvisoka,visoka,5više,4,srednja,visoka,neprihv
vvisoka,visoka,5više,4,veliki,niska,neprihv
vvisoka,visoka,5više,4,veliki,srednja,neprihv
vvisoka,visoka,5više,4,veliki,visoka,neprihv
vvisoka,visoka,5više,više,mali,niska,neprihv
vvisoka,visoka,5više,više,mali,srednja,neprihv
vvisoka,visoka,5više,više,mali,visoka,neprihv
vvisoka,visoka,5više,više,srednja,niska,neprihv
vvisoka,visoka,5više,više,srednja,srednja,neprihv
vvisoka,visoka,5više,više,srednja,visoka,neprihv
vvisoka,visoka,5više,više,veliki,niska,neprihv
vvisoka,visoka,5više,više,veliki,srednja,neprihv
vvisoka,visoka,5više,više,veliki,visoka,neprihv
vvisoka,srednja,2,2,mali,niska,neprihv
